id,name,designation,company
1034,Rafiq Somani,Director,dcbbank
1035,Ashok Barat,Director,dcbbank
1036,Murali M Natrajan,Managing Director & CEO,dcbbank
1037,Shaffiq Dharamshi,Director,dcbbank
1038,P R Somasundaram,Director,dcbbank
1039,Iqbal Khan,Director,dcbbank
1040,Amyn Jassani,Director,dcbbank
1041,Ajay S Shriram,Chairman & Sr.Mng.Director,dcmshriram
1042,Ajit S Shriram,Joint Managing Director,dcmshriram
1043,K K Sharma,Whole Time Director,dcmshriram
1044,Pradeep Dinodia,Ind. Non-Executive Director,dcmshriram
1045,Vikramajit Sen,Ind. Non-Executive Director,dcmshriram
1046,Ramni Nirula,Ind. Non-Executive Director,dcmshriram
1047,Vikram S Shriram,Vice Chairman & Mng.Director,dcmshriram
1048,K K Kaul,Whole Time Director,dcmshriram
1049,Vimal Bhandari,Ind. Non-Executive Director,dcmshriram
1050,Pravesh Sharma,Ind. Non-Executive Director,dcmshriram
1051,Sunil Kant Munjal,Ind. Non-Executive Director,dcmshriram
1052,Sarita Garg,Nominee Director,dcmshriram
1053,C K Mehta,Chairman Emeritus,deepakfertilizerspetrochemicalscoprn
1054,M P Shinde,Non Exe.Non Ind.Director,deepakfertilizerspetrochemicalscoprn
1055,Varsha Purandare,Independent Woman Director,deepakfertilizerspetrochemicalscoprn
1056,Bhuwan Tripathi,Independent Director,deepakfertilizerspetrochemicalscoprn
1057,Berjis Desai,Independent Director,deepakfertilizerspetrochemicalscoprn
1058,Alok Perti,Independent Director,deepakfertilizerspetrochemicalscoprn
1059,S C Mehta,Chairman & Managing Director,deepakfertilizerspetrochemicalscoprn
1060,Parul S Mehta,Non Executive Woman Director,deepakfertilizerspetrochemicalscoprn
1061,Sujal Shah,Independent Director,deepakfertilizerspetrochemicalscoprn
1062,Ashok Kumar Purwaha,Independent Director,deepakfertilizerspetrochemicalscoprn
1063,Partha Bhattacharyya,Independent Director,deepakfertilizerspetrochemicalscoprn
1064,Amit Biswas,Independent Director,deepakfertilizerspetrochemicalscoprn
1065,Chimanlal K Mehta,Chairman Emeritus,deepaknitrite
1066,Maulik D Mehta,Executive Director & CEO,deepaknitrite
1067,Ajay C Mehta,Non Executive Director,deepaknitrite
1068,Sudhir Mankad,Independent Director,deepaknitrite
1069,Swaminathan Sivaram,Independent Director,deepaknitrite
1070,Dileep Choksi,Independent Director,deepaknitrite
1071,Deepak C Mehta,Chairman & Managing Director,deepaknitrite
1072,Sanjay Upadhyay,Director - Finance & CFO,deepaknitrite
1073,Richard H Rupp,Independent Director,deepaknitrite
1074,Sandesh Kumar Anand,Non Exe.Non Ind.Director,deepaknitrite
1075,Sanjay Asher,Independent Director,deepaknitrite
1076,Purvi Sheth,Independent Director,deepaknitrite
1077,Jaydev Mody,Non Executive Chairman,deltacorp
1078,Alpana Piramal Chinai,Independent Director,deltacorp
1079,Rajesh Jaggi,Independent Director,deltacorp
1080,Vrajesh Udani,Independent Director,deltacorp
1081,Ashish Kapadia,Managing Director,deltacorp
1082,Chetan Desai,Independent Director,deltacorp
1083,Ravinder Kumar Jain,Independent Director,deltacorp
1084,Ram Gopal Agarwal,Chairman,dhanukaagritech
1085,Arun Kumar Dhanuka,Executive Director,dhanukaagritech
1086,Harsh Dhanuka,Executive Director,dhanukaagritech
1087,Mridul Dhanuka,Non Executive Director,dhanukaagritech
1088,Priya Brat,Independent Director,dhanukaagritech
1089,Sanjay Saxena,Independent Director,dhanukaagritech
1090,Bajrang Lal Bajaj,Independent Director,dhanukaagritech
1091,Mahendra Kumar Dhanuka,Managing Director,dhanukaagritech
1092,Rahul Dhanuka,Executive Director,dhanukaagritech
1093,Ashish Saraf,Executive Director,dhanukaagritech
1094,Sachin Kumar Bhartiya,Independent Director,dhanukaagritech
1095,Vinod Kumar Jain,Independent Director,dhanukaagritech
1096,Namrata Gupta,Independent Director,dhanukaagritech
1097,Siraj Azmat Chaudhry,Independent Director,dhanukaagritech
1098,Dilip Suryavanshi,Chairman & Managing Director,dilipbuildcon
1099,Seema Suryavanshi,Whole Time Director,dilipbuildcon
1100,Satish Chandra Pandey,Ind. Non-Executive Director,dilipbuildcon
1101,Ashwini Verma,Ind. Non-Executive Director,dilipbuildcon
1102,Vijay Chhibber,Ind. Non-Executive Director,dilipbuildcon
1103,Devendra Jain,WholeTime Director & CEO,dilipbuildcon
1104,Amogh Kumar Gupta,Ind. Non-Executive Director,dilipbuildcon
1105,Ratna Dharashree Vishwanathan,Ind. Non-Executive Director,dilipbuildcon
1106,Malay Mukherjee,Ind. Non-Executive Director,dilipbuildcon
1107,Janmejay R Vyas,Chairman,dishmancarbogenamcis
1108,Deohooti J Vyas,Whole Time Director,dishmancarbogenamcis
1109,Ashok C Gandhi,Independent Director,dishmancarbogenamcis
1110,Subir Kumar Das,Independent Director,dishmancarbogenamcis
1111,Maitri K Mehta,Director,dishmancarbogenamcis
1112,Arpit J Vyas,Group Managing Director,dishmancarbogenamcis
1113,Sanjay S Majmudar,Independent Director,dishmancarbogenamcis
1114,Rajendra S Shah,Independent Director,dishmancarbogenamcis
1115,Mark C Griffiths,Independent Director,dishmancarbogenamcis
1116,Ramesh B V Nimmagadda,Non Exe.Chairman&Ind.Director,divislaboratories
1117,Madhusudana Rao Divi,Whole Time Director,divislaboratories
1118,Nilima Prasad Divi,Whole Time Director,divislaboratories
1119,K V K Seshavataram,Independent Director,divislaboratories
1120,R Ranga Rao,Independent Director,divislaboratories
1121,Sunaina Singh,Independent Director,divislaboratories
1122,Murali K Divi,Managing Director,divislaboratories
1123,Kiran S Divi,WholeTime Director & CEO,divislaboratories
1124,N V Ramana,Executive Director,divislaboratories
1125,G Suresh Kumar,Independent Director,divislaboratories
1126,S Ganapaty,Independent Director,divislaboratories
1127,K V Chowdary,Independent Director,divislaboratories
1128,Sunil Vachani,Executive Chairman,dixontechnologies
1129,Keng Tsung Kuo,Independent Director,dixontechnologies
1130,Manuji Zarabi,Independent Director,dixontechnologies
1131,Rakesh Mohan,Independent Director,dixontechnologies
1132,Atul B Lall,Vice Chairman & Mng.Director,dixontechnologies
1133,Poornima Shenoy,Independent Director,dixontechnologies
1134,Manoj Maheshwari,Independent Director,dixontechnologies
1135,Aditya Singh,Non Executive Director,dlf
1136,Pia Singh,Non Executive Director,dlf
1137,Priya Paul,Non Executive Director,dlf
1138,Rajiv Singh,Chairman,dlf
1139,Rajeev Talwar,WholeTime Director & CEO,dlf
1140,Devinder Singh,Whole Time Director,dlf
1141,D V Kapur,Non Executive Director,dlf
1142,Pramod Bhasin,Non Executive Director,dlf
1143,Ved Kumar Jain,Non Executive Director,dlf
1144,A S Minocha,Non Executive Director,dlf
1145,Vivek Mehra,Non Executive Director,dlf
1146,K P Singh,Chairman Emeritus,dlf
1147,Mohit Gujral,WholeTime Director & CEO,dlf
1148,Ashok Kumar Tyagi,Whole Time Director,dlf
1149,G S Talwar,Non Executive Director,dlf
1150,K N Memani,Non Executive Director,dlf
1151,Rajiv Krishan Luthra,Non Executive Director,dlf
1152,Arvind Lal,Executive Chairman,drlalpathlabs
1153,Vandana Lal,Executive Director,drlalpathlabs
1154,Anoop Mahendra Singh,Independent Director,drlalpathlabs
1155,Harneet Singh Chandhoke,Independent Director,drlalpathlabs
1156,Somya Satsangi,Independent Director,drlalpathlabs
1157,Om Prakash Manchanda,Managing Director,drlalpathlabs
1158,Rahul Sharma,Non Executive Director,drlalpathlabs
1159,Sunil Varma,Independent Director,drlalpathlabs
1160,Saurabh Srivastava,Independent Director,drlalpathlabs
1161,Archana Lal Erdmann,Non Executive Director,drlalpathlabs
1162,K Satish Reddy,Chairman,drreddyslaboratories
1163,Leo Puri,Independent Director,drreddyslaboratories
1164,Shikha Sharma,Independent Director,drreddyslaboratories
1165,Bruce L A Carter,Independent Director,drreddyslaboratories
1166,Sridar Iyengar,Independent Director,drreddyslaboratories
1167,G V Prasad,Co-Chairman & Manag. Director,drreddyslaboratories
1168,Prasad R Menon,Independent Director,drreddyslaboratories
1169,Allan Oberman,Independent Director,drreddyslaboratories
1170,Kalpana Morparia,Independent Director,drreddyslaboratories
1171,Pradeep Kapoor,Chairman(NonExe.&Ind.Director),eclerxservices
1172,Anjan Malik,Non Executive Director,eclerxservices
1173,Deepa Kapoor,Ind. Non-Executive Director,eclerxservices
1174,Anish Ghoshal,Ind. Non-Executive Director,eclerxservices
1175,Srinjay Sengupta,Ind. Non-Executive Director,eclerxservices
1176,P D Mundhra,Executive Director,eclerxservices
1177,Alok Goyal,Ind. Non-Executive Director,eclerxservices
1178,Shailesh Kekre,Ind. Non-Executive Director,eclerxservices
1179,Biren Gabhawala,Ind. Non-Executive Director,eclerxservices
1180,Rashesh Shah,Chairman & Managing Director,edelweissfinancialservices
1181,Himanshu Kaji,Executive Director,edelweissfinancialservices
1182,Vidya Shah,Non Exe.Non Ind.Director,edelweissfinancialservices
1183,Biswamohan Mahapatra,Independent Director,edelweissfinancialservices
1184,Ashima Goyal,Independent Director,edelweissfinancialservices
1185,Navtej S Nandra,Independent Director,edelweissfinancialservices
1186,Venkatchalam Ramaswamy,Vice Chairman & Exe.Director,edelweissfinancialservices
1187,Rujan Panjwani,Executive Director,edelweissfinancialservices
1188,P N Venkatachalam,Independent Director,edelweissfinancialservices
1189,Ashok Kini,Independent Director,edelweissfinancialservices
1190,Berjis Desai,Independent Director,edelweissfinancialservices
1191,Kunnasagaran Chinniah,Independent Director,edelweissfinancialservices
1192,S Sandilya,Chairman,eichermotors
1193,Vinod K Dasari,WholeTime Director & CEO,eichermotors
1194,Manvi Sinha,Independent Director,eichermotors
1195,Siddhartha Lal,Managing Director,eichermotors
1196,Vinod Aggarwal,Non Executive Director,eichermotors
1197,Inder Mohan Singh,Independent Director,eichermotors
1198,V Ravichandran,Chairman,eidparryindia
1199,Ajay B Baliga,Independent Director,eidparryindia
1200,T Krishnakumar,Independent Director,eidparryindia
1201,Ramesh K B Menon,Director,eidparryindia
1202,S Suresh,Managing Director,eidparryindia
1203,V Manickam,Independent Director,eidparryindia
1204,Rca Godbole,Independent Director,eidparryindia
1205,M M Venkatachalam,Director,eidparryindia
1206,Prithvi Raj Singh Oberoi,Executive Chairman,eih
1207,Vikramjit Singh Oberoi,Managing Director & CEO,eih
1208,Rajeev Gupta,Independent Director,eih
1209,Sudipto Sarkar,Independent Director,eih
1210,Chhavi Rajawat,Independent Director,eih
1211,Manoj Harjivandas Modi,Non Executive Director,eih
1212,Shib Sanker Mukherji,Executive Vice Chairman,eih
1213,Arjun Singh Oberoi,Managing Director,eih
1214,Anil Kumar Nehru,Independent Director,eih
1215,Lakshminarayan Ganesh,Independent Director,eih
1216,Nita Mukesh Ambani,Non Executive Director,eih
1217,Sanjay Gopal Bhatnagar,Independent Director,eih
1218,Jairam Varadaraj,Managing Director,elgiequipments
1219,T Balaji Naidu,Non Executive Director,elgiequipments
1220,Sudarsan Varadaraj,Non Executive Director,elgiequipments
1221,M Ramprasad,Non Executive Director,elgiequipments
1222,Aruna Thangaraj,Non Executive Director,elgiequipments
1223,N Mohan Nambiar,Non Executive Director,elgiequipments
1224,B Vijayakumar,Non Executive Director,elgiequipments
1225,Ganesh Devaraj,Non Executive Director,elgiequipments
1226,Harjeet Singh Wahan,Non Executive Director,elgiequipments
1227,Anvar Jay Varadaraj,Non Executive Director,elgiequipments
1228,R S Agarwal,Chairman,emami
1229,Harsha V Agarwal,Director,emami
1230,Prashant Goenka,Director,emami
1231,R S Goenka,Director,emami
1232,Y P Trivedi,Director,emami
1233,P K Khaitan,Director,emami
1234,Mohan Goenka,Director,emami
1235,Amit Kiran Deb,Director,emami
1236,Sushil K Goenka,Managing Director,emami
1237,Priti A Sureka,Director,emami
1238,C K Dhanuka,Director,emami
1239,K N Memani,Director,emami
1240,Aditya V Agarwal,Director,emami
1241,S B Ganguly,Director,emami
1242,Debabrata Sarkar,Director,emami
1243,Soumendra Basu,Chairman,endurancetechnologies
1244,Massimo Venuti,Director,endurancetechnologies
1245,Satrajit Ray,Director,endurancetechnologies
1246,Indrajit Banerjee,Director,endurancetechnologies
1247,Ramesh Gehaney,Director,endurancetechnologies
1248,Anurang Jain,Managing Director,endurancetechnologies
1249,Anjali Seth,Director,endurancetechnologies
1250,Varsha Jain,Director,endurancetechnologies
1251,Roberto Testore,Director,endurancetechnologies
1252,Anant Talaulicar,Director,endurancetechnologies
1253,Vartika Shukla,Chairperson & Managing Director,engineersindia
1254,Sanjeev Kumar Handa,Director - Projects,engineersindia
1255,B N Reddy,Government Nominee Director,engineersindia
1256,M Arulmurugan,Non Official Independent Director,engineersindia
1257,Rakesh Kumar Sabharwal,Director - Commercial,engineersindia
1258,A K Kalra,Director - Human Resources,engineersindia
1259,Sunil Kumar,Government Nominee Director,engineersindia
1260,Davinder Singh Brar,Chairman,epl
1261,Dhaval Buch,Director,epl
1262,Animesh Agrawal,Director,epl
1263,Sharmila Abhay Karve,Independent Director,epl
1264,Sudhanshu Vats,Managing Director & CEO,epl
1265,Amit Dixit,Director,epl
1266,Aniket Damle,Director,epl
1267,Uwe Ferdinand Roehrhoff,Independent Director,epl
1268,N Rangachary,"Chairman, Non Ind & Non Exe Director",equitasholdings
1269,S Bhaskar,Non Executive Director,equitasholdings
1270,Jayshree Ashwinkumar Vyas,Independent Director,equitasholdings
1271,S Viswanatha Prasad,Independent Director,equitasholdings
1272,John Alex,Executive Director & CEO,equitasholdings
1273,Arun Ramanathan,Independent Director,equitasholdings
1274,P V Rajaraman,Independent Director,equitasholdings
1275,Jayaraman Chandrasekaran,Independent Director,equitasholdings
1276,Rohit Gambhir,Managing Director,esabindia
1277,Vikram Tandon,Independent Director,esabindia
1278,Sabitha Rao,Independent Director,esabindia
1279,K Vaidyanathan,Independent Director,esabindia
1280,Sudhir Chand,Independent Director,esabindia
1281,Nikhil Nanda,Chairman & Managing Director,escorts
1282,Nitasha Nanda,Whole Time Director,escorts
1283,P H Ravikumar,Independent Director,escorts
1284,Vibha Paul Rishi,Independent Director,escorts
1285,Tanya Dubash,Independent Director,escorts
1286,Dai Watanabe,Nominee Director,escorts
1287,Shailendra Agrawal,Executive Director,escorts
1288,Hardeep Singh,Director,escorts
1289,Sutanu Behuria,Independent Director,escorts
1290,Sunil Kant Munjal,Independent Director,escorts
1291,Harish N Salve,Independent Director,escorts
1292,Yuji Tomiyama,Nominee Director,escorts
1293,Bharat Dhirajlal Shah,Chairman & Ind.Director,exideindustries
1294,Subir Chakraborty,Managing Director & CEO,exideindustries
1295,A K Mukherjee,Director - Finance & CFO,exideindustries
1296,Mona N Desai,Independent Director,exideindustries
1297,Surin Kapadia,Independent Director,exideindustries
1298,R B Raheja,Vice Chairman & Non Exe.Dire,exideindustries
1299,Avik Kumar Roy,Director,exideindustries
1300,Arun Mittal,Director,exideindustries
1301,Sudhir Chand,Independent Director,exideindustries
1302,Ramdas A Chandavarkar,Chairman Emeritus,fdc
1303,Mohan A Chandavarkar,Managing Director,fdc
1304,Ameya A Chandavarkar,Executive Director & CEO,fdc
1305,Nomita R Chandavarkar,Executive Director,fdc
1306,Melarkode Ganesan Parameswaran,Ind. Non-Executive Director,fdc
1307,Mahesh Bijlani,Ind. Non-Executive Director,fdc
1308,Uday Kumar Gurkar,Chairman,fdc
1309,Nandan M Chandavarkar,Joint Managing Director,fdc
1310,Ashok A Chandavarkar,Executive Director,fdc
1311,Swati S Mayekar,Ind. Non-Executive Director,fdc
1312,Usha Athreya Chandrasekhar,Ind. Non-Executive Director,fdc
1313,Grace Elizabeth Koshie,Chairperson,federalbank
1314,Ashutosh Khajuria,Executive Director & CFO,federalbank
1315,Sudarshan Sen,Independent Director,federalbank
1316,Abhaya Prasad Hota,Independent Director,federalbank
1317,Siddhartha Sengupta,Independent Director,federalbank
1318,Varsha Purandare,Independent Director,federalbank
1319,Shyam Srinivasan,Managing Director & CEO,federalbank
1320,Shalini Warrier,Executive Director,federalbank
1321,C Balagopal,Independent Director,federalbank
1322,Balakrishnan Krishnamurthy,Independent Director,federalbank
1323,Manoj Fadnis,Independent Director,federalbank
1324,Prakash Damodar Kamat,Chairman & Executive Director,fineorganicsindustries
1325,Jayen Ramesh Shah,Executive Director & CEO,fineorganicsindustries
1326,Bimal Mukesh Shah,Executive Director,fineorganicsindustries
1327,Kaushik Dwarkadas Shah,Independent Director,fineorganicsindustries
1328,Parthasarathi Thiruvengadam,Independent Director,fineorganicsindustries
1329,Mukesh Maganlal Shah,Managing Director,fineorganicsindustries
1330,Tushar Ramesh Shah,Executive Director & CFO,fineorganicsindustries
1331,Prakash Krishnaji Apte,Independent Director,fineorganicsindustries
1332,Mahesh Pansukhlal Sarda,Independent Director,fineorganicsindustries
1333,Pratima Madhukar Umarji,Independent Director,fineorganicsindustries
1334,D K Chhabria,Executive Chairman,finolexcables
1335,Prasad Marutirao Deshpande,Non Executive Director,finolexcables
1336,Avinash Shridhar Khare,Independent Director,finolexcables
1337,Sunil Upmanyu,Executive Director - Operations,finolexcables
1338,Padmanabh Ramchandra Barpande,Independent Director,finolexcables
1339,Firoza Fredoon Kapadia,Independent Woman Director,finolexcables
1340,Prakash P Chhabria,Executive Chairman,finolexindustries
1341,Ritu P Chhabria,Non Exe.Non Ind.Director,finolexindustries
1342,Bhumika L Batra,Independent Director,finolexindustries
1343,Deepak R Parikh,Independent Director,finolexindustries
1344,Anami N Roy,Independent Director,finolexindustries
1345,Sanjay S Math,Managing Director,finolexindustries
1346,Saurabh S Dhanorkar,Non Exe.Non Ind.Director,finolexindustries
1347,Kanchan U Chitale,Independent Director,finolexindustries
1348,Pradeep R Rathi,Independent Director,finolexindustries
1349,Anil V Whabi,Director - Finance & CFO,finolexindustries
1350,Sanjiv Goenka,Chairman,firstsourcesolutions
1351,Shashwat Goenka,Non Executive Director,firstsourcesolutions
1352,Pradip Kumar Khaitan,Non Executive Director,firstsourcesolutions
1353,Charles Richard Vernon Stagg,Independent Director,firstsourcesolutions
1354,Pratip Chaudhuri,Independent Director,firstsourcesolutions
1355,Anjani K Agrawal,Ind. Non-Executive Director,firstsourcesolutions
1356,Vipul Khanna,Managing Director & CEO,firstsourcesolutions
1357,Subrata Talukdar,Non Executive Director,firstsourcesolutions
1358,Pradip Roy,Independent Director,firstsourcesolutions
1359,Grace Koshie,Independent Director,firstsourcesolutions
1360,Sunil Mitra,Independent Director,firstsourcesolutions
1361,Ravi Rajagopal,Chairman & Ind.Director,fortishealthcare
1362,Ashutosh Raghuvanshi,Managing Director & CEO,fortishealthcare
1363,Indrajit Banerjee,Independent Director,fortishealthcare
1364,Dilip Kadambi,Non Executive Director,fortishealthcare
1365,Kelvin Loh Chi-Keon,Non Executive Director,fortishealthcare
1366,Joerg Ayrle,Non Executive Director,fortishealthcare
1367,Shirish Moreshwar Apte,Vice Chairman & Non Exe.Dire,fortishealthcare
1368,Suvalaxmi Chakraborty,Independent Director,fortishealthcare
1369,Shailaja Chandra,Independent Director,fortishealthcare
1370,Heng Joo Joe Sim,Non Executive Director,fortishealthcare
1371,Farid Bin Mohamed Sani,Non Executive Director,fortishealthcare
1372,Takeshi Saito,Non Executive Director,fortishealthcare
1373,Manoj Jain,Chairman & M.D & CEO,gailindia
1374,Navneet Mohan Kothari,Government Nominee Director,gailindia
1375,E S Ranganathan,Director - Marketing,gailindia
1376,A K Tiwari,Director - Finance & CFO,gailindia
1377,M V Iye,Director - Business Development,gailindia
1378,Usha Suresh,Government Nominee Director,gailindia
1379,S Ravindranath,Chairman(NonExe.&Ind.Director),galaxysurfactantsltd
1380,K Ganesh Kamath,Executive Director & CFO,galaxysurfactantsltd
1381,G Ramakrishnan,Ind. Non-Executive Director,galaxysurfactantsltd
1382,M G Parameswaran,Ind. Non-Executive Director,galaxysurfactantsltd
1383,Shashikant Shanbhag,Non Executive Director,galaxysurfactantsltd
1384,Vaijanath Kulkarni,Non Executive Director,galaxysurfactantsltd
1385,U Shekhar,Managing Director,galaxysurfactantsltd
1386,K Natarajan,COO & Executive Director,galaxysurfactantsltd
1387,Subodh Nadkarni,Ind. Non-Executive Director,galaxysurfactantsltd
1388,Nandita Gurjar,Ind. Non-Executive Director,galaxysurfactantsltd
1389,Nirmal Koshti,Non Executive Director,galaxysurfactantsltd
1390,Uday K Kamat,Non Executive Director,galaxysurfactantsltd
1391,V R Garware,Chairman & Managing Director,garwaretechnicalfibres
1392,R M Telang,Director,garwaretechnicalfibres
1393,Mallika Sagar,Director,garwaretechnicalfibres
1394,S P Kulkarni,Director,garwaretechnicalfibres
1395,S S Rajpathak,Director,garwaretechnicalfibres
1396,M V Garware,Director,garwaretechnicalfibres
1397,K M Sheth,Chairman,greateasternshippingcompany
1398,Tapas Icot,Executive Director & President,greateasternshippingcompany
1399,Berjis Desai,Director,greateasternshippingcompany
1400,Rita Bhagwati,Director,greateasternshippingcompany
1401,Vineet Nayyar,Director,greateasternshippingcompany
1402,Raju Shukla,Director,greateasternshippingcompany
1403,Urjit Patel,Director,greateasternshippingcompany
1404,Bharat K Sheth,Dy. Chairman & Manag. Director,greateasternshippingcompany
1405,G Shivakumar,Executive Director & CFO,greateasternshippingcompany
1406,Cyrus Guzder,Director,greateasternshippingcompany
1407,Shankar N Acharya,Director,greateasternshippingcompany
1408,Ravi K Sheth,Director,greateasternshippingcompany
1409,Ranjit Vasant Pandit,Director,greateasternshippingcompany
1410,Devesh Srivastava,Chairman & Managing Director,generalinsurancecorporationindia
1411,Atanu Kumar Das,Independent Director,generalinsurancecorporationindia
1412,A Manimekhalai,Director,generalinsurancecorporationindia
1413,Dakshita Das,Government Nominee Director,generalinsurancecorporationindia
1414,Gurcharan Das,Chairman & Ind.Director,gilletteindia
1415,Gautam Kamath,Executive Director & CFO,gilletteindia
1416,Karthik Natarajan,Non Executive Director,gilletteindia
1417,Sonali Dhawan,Non Executive Director,gilletteindia
1418,Chittranjan Dua,Independent Director,gilletteindia
1419,Anjuly Chib Duggal,Independent Director,gilletteindia
1420,Madhusudan Gopalan,Managing Director,gilletteindia
1421,Srinivas Maruthi Patnam,Executive Director,gilletteindia
1422,Pramod Agarwal,Non Executive Director,gilletteindia
1423,Gagan Sawhney,Non Executive Director,gilletteindia
1424,Anil Kumar Gupta,Independent Director,gilletteindia
1425,R S Karnad,Chairperson,glaxosmithklinepharmaceuticals
1426,S Maheshwari,Director,glaxosmithklinepharmaceuticals
1427,P V Bhide,Director,glaxosmithklinepharmaceuticals
1428,M Dawson,Director,glaxosmithklinepharmaceuticals
1429,D Sundaram,Director,glaxosmithklinepharmaceuticals
1430,Sridhar Venkatesh,Managing Director,glaxosmithklinepharmaceuticals
1431,S Williams,Director,glaxosmithklinepharmaceuticals
1432,N Kaviratne,Director,glaxosmithklinepharmaceuticals
1433,A N Roy,Director,glaxosmithklinepharmaceuticals
1434,P Thakur,Director,glaxosmithklinepharmaceuticals
1435,Glenn Saldanha,Chairman & Managing Director,glenmarkpharma
1436,V S Mani,Executive Director & Global CFO,glenmarkpharma
1437,Brian W Tempest,Non Executive Director,glenmarkpharma
1438,Bernard Munos,Non Executive Director,glenmarkpharma
1439,B E Saldanha,Non Executive Director,glenmarkpharma
1440,Saira Ramasastry,Non Executive Director,glenmarkpharma
1441,Cherylann Pinto,Executive Director - Corporate Affairs,glenmarkpharma
1442,Rajesh V Desai,Non Executive Director,glenmarkpharma
1443,Dipankar Bhattacharjee,Non Executive Director,glenmarkpharma
1444,Sridhar Gorthi,Non Executive Director,glenmarkpharma
1445,D R Mehta,Non Executive Director,glenmarkpharma
1446,S Sivaram,Chairman,gmmpfaudler
1447,Nakul Toshniwal,Director,gmmpfaudler
1448,Vivek Bhatia,Director,gmmpfaudler
1449,Harsh Gupta,Director,gmmpfaudler
1450,Gunter Bachmann,Director,gmmpfaudler
1451,Tarak Patel,Managing Director,gmmpfaudler
1452,Bhawana Mishra,Director,gmmpfaudler
1453,Ashok Patel,Director,gmmpfaudler
1454,Malte Woweries,Director,gmmpfaudler
1455,Anil Mukim,Chairman,gujaratnarmadavalleyfertilizerschemicals
1456,Mukesh Puri,Director,gujaratnarmadavalleyfertilizerschemicals
1457,Mamta Verma,Director,gujaratnarmadavalleyfertilizerschemicals
1458,Sunil Parekh,Director,gujaratnarmadavalleyfertilizerschemicals
1459,Pankaj Joshi,Managing Director,gujaratnarmadavalleyfertilizerschemicals
1460,Gauri Kumar,Director,gujaratnarmadavalleyfertilizerschemicals
1461,Ranjan Kumar Ghosh,Director,gujaratnarmadavalleyfertilizerschemicals
1462,Piruz Khambatta,Director,gujaratnarmadavalleyfertilizerschemicals
1463,R A Shah,Chairman,godfreyphillipsindia
1464,Samir Modi,Executive Director,godfreyphillipsindia
1465,Ruchir Kumar Modi,Director,godfreyphillipsindia
1466,Anup N Kothari,Director,godfreyphillipsindia
1467,Nirmala Bagri,Director,godfreyphillipsindia
1468,Bina Modi,President & Managing  Director,godfreyphillipsindia
1469,Sharad Aggarwal,Whole Time Director,godfreyphillipsindia
1470,Lalit Bhasin,Director,godfreyphillipsindia
1471,AtuI Kumar Gupta,Director,godfreyphillipsindia
1472,Nadir B Godrej,Chairman,godrejagrovet
1473,Jamshyd N Godrej,Non Independent Director,godrejagrovet
1474,Tanya A Dubash,Non Independent Director,godrejagrovet
1475,Pirojsha A Godrej,Non Independent Director,godrejagrovet
1476,Roopa Purushothaman,Independent Director,godrejagrovet
1477,Ritu Anand,Independent Director,godrejagrovet
1478,Ashok Gulati,Independent Director,godrejagrovet
1479,Balram S Yadav,Managing Director,godrejagrovet
1480,Vijay M Crishna,Non Independent Director,godrejagrovet
1481,Nisaba Godrej,Non Independent Director,godrejagrovet
1482,Raghunath A Mashelkar,Independent Director,godrejagrovet
1483,Aditi Kothari Desai,Independent Director,godrejagrovet
1484,Natarajan Srinivasan,Independent Director,godrejagrovet
1485,Kannan Sitaram,Independent Director,godrejagrovet
1486,Adi Godrej,Chairman,godrejconsumerproducts
1487,Pirojsha Godrej,Non Executive Director,godrejconsumerproducts
1488,Jamshyd N Godrej,Non Executive Director,godrejconsumerproducts
1489,Aman Mehta,Independent Director,godrejconsumerproducts
1490,Omkar Goswami,Independent Director,godrejconsumerproducts
1491,Pippa Tubman Armerding,Independent Director,godrejconsumerproducts
1492,Ireena Vittal,Lead Independent Director,godrejconsumerproducts
1493,Nisaba Godrej,Chairman & Managing Director,godrejconsumerproducts
1494,Nadir Godrej,Non Executive Director,godrejconsumerproducts
1495,Tanya Dubash,Non Executive Director,godrejconsumerproducts
1496,Narendra Ambwani,Independent Director,godrejconsumerproducts
1497,Ndidi Nwuneli,Independent Director,godrejconsumerproducts
1498,Sumeet Narang,Independent Director,godrejconsumerproducts
1499,Adi Godrej,Chairman,godrejindustries
1500,Tanya Dubash,Executive Director & Chief Brand Officer,godrejindustries
1501,Jamshyd Godrej,Director,godrejindustries
1502,Ganapati D Yadav,Independent Director,godrejindustries
1503,Monaz Noble,Independent Director,godrejindustries
1504,Sandeep Murthy,Independent Director,godrejindustries
1505,Nadir Godrej,Managing Director,godrejindustries
1506,Nitin Nabar,Executive Director & President,godrejindustries
1507,Vijay Crishna,Director,godrejindustries
1508,Mathew Eipe,Independent Director,godrejindustries
1509,Shweta Bhatia,Independent Director,godrejindustries
1510,Ajaykumar Vaghani,Independent Director,godrejindustries
1511,Adi B Godrej,Chairman Emeritus,godrejproperties
1512,Mohit Malhotra,Managing Director & CEO,godrejproperties
1513,Nadir B Godrej,Non Executive Director,godrejproperties
1514,Lalita D Gupte,Independent Director,godrejproperties
1515,Pranay Vakil,Independent Director,godrejproperties
1516,Pirojsha Godrej,Executive Chairman,godrejproperties
1517,Jamshyd N Godrej,Non Executive Director,godrejproperties
1518,Keki B Dadiseth,Independent Director,godrejproperties
1519,Amitava Mukherjee,Independent Director,godrejproperties
