Date,Open,High,Low,Close,Volume
2021-12-08,13.25,13.45,13.1,13.25,89385559.0
2021-12-09,13.3,14.2,13.25,14.0,371016070.0
2021-12-10,14.2,14.65,14.05,14.45,287016764.0
2021-12-13,14.7,14.95,13.8,14.0,255950390.0
2021-12-14,13.8,14.2,13.7,13.95,137444898.0
2021-12-15,13.9,14.15,13.7,13.75,113529974.0
2021-12-16,13.9,14.05,13.3,13.4,122729693.0
2021-12-17,13.55,13.6,13.05,13.15,111405508.0
2021-12-20,13.05,13.05,12.55,12.75,126631534.0
2021-12-21,13.05,13.25,12.85,13.0,82841162.0
2021-12-22,13.2,13.7,13.15,13.65,131722111.0
2021-12-23,13.8,13.85,13.5,13.55,71313187.0
2021-12-24,13.6,13.65,13.15,13.25,84988162.0
2021-12-27,13.15,13.45,13.05,13.2,62329124.0
2021-12-28,13.25,13.6,13.2,13.45,97031374.0
2021-12-29,13.5,14.15,13.45,13.9,125963208.0
2021-12-30,13.9,13.95,13.5,13.55,77192964.0
2021-12-31,13.65,13.9,13.6,13.7,72947892.0
2022-01-03,13.7,14.4,13.65,14.05,233646824.0
2022-01-04,14.1,14.65,14.05,14.5,239478313.0
2022-01-05,14.55,14.95,14.4,14.5,312373031.0
2022-01-06,14.25,14.45,14.1,14.25,125481711.0
2022-01-07,14.3,14.55,13.45,13.95,163782823.0
2022-01-10,13.95,14.25,13.9,14.0,85450112.0
2022-01-11,14.1,14.2,13.8,13.9,108029504.0
2022-01-12,13.95,14.0,13.7,13.75,70742108.0
2022-01-13,13.85,14.2,13.6,14.0,132643682.0
2022-01-14,13.95,14.15,13.85,14.05,76620802.0
2022-01-17,14.1,14.2,14.0,14.1,46460460.0
2022-01-18,14.1,14.15,13.7,13.8,98757385.0
2022-01-19,13.9,13.9,13.7,13.8,79519938.0
2022-01-20,13.8,14.0,13.75,13.8,54861059.0
2022-01-21,13.85,13.85,13.6,13.75,67086949.0
2022-01-24,14.2,14.2,13.4,13.45,200908635.0
2022-01-25,13.35,13.8,13.25,13.6,98939782.0
2022-01-27,13.5,13.65,13.35,13.55,95789692.0
2022-01-28,13.55,13.8,13.3,13.35,81562705.0
2022-01-31,13.5,13.6,13.2,13.3,82299006.0
2022-02-01,13.4,13.6,13.1,13.35,108761671.0
2022-02-02,13.5,13.8,13.4,13.65,74842792.0
2022-02-03,13.65,13.7,13.35,13.45,59047564.0
2022-02-04,13.6,13.85,13.55,13.7,102260941.0
2022-02-07,13.9,14.15,13.7,13.95,107878882.0
2022-02-08,14.05,14.25,14.0,14.15,148021736.0
2022-02-09,14.25,14.35,14.05,14.1,68633731.0
2022-02-10,14.15,14.2,13.8,13.85,65567550.0
2022-02-11,13.85,14.2,13.75,13.9,105169399.0
2022-02-14,13.8,13.85,13.2,13.25,115019220.0
2022-02-15,13.3,13.6,13.05,13.5,97078149.0
2022-02-16,13.65,13.7,13.5,13.55,61575713.0
2022-02-17,13.65,13.9,13.4,13.8,88068465.0
2022-02-18,13.9,14.1,13.8,13.9,67852119.0
2022-02-21,13.75,13.8,13.6,13.65,64338345.0
2022-02-22,13.45,13.75,13.35,13.6,110047883.0
2022-02-23,13.7,13.9,13.6,13.85,74202361.0
2022-02-24,13.45,13.65,12.5,12.6,172480925.0
2022-02-25,12.85,13.35,12.85,13.15,102883520.0
2022-02-28,13.05,13.35,12.9,13.25,138460582.0
2022-03-02,13.2,13.25,12.6,12.9,129830542.0
2022-03-03,13.15,13.2,12.8,12.95,118672276.0
2022-03-04,13.2,13.2,12.75,12.8,126930611.0
2022-03-07,12.7,12.8,12.6,12.65,88242222.0
2022-03-08,12.65,12.85,12.6,12.75,86562937.0
2022-03-09,12.8,12.95,12.65,12.75,122615702.0
2022-03-10,12.9,13.0,12.75,12.85,123845769.0
2022-03-11,12.85,12.9,12.7,12.75,58891356.0
2022-03-14,12.75,12.85,12.65,12.7,69297435.0
2022-03-15,12.8,12.8,12.6,12.7,82661443.0
2022-03-16,12.8,12.85,12.75,12.8,63630406.0
2022-03-17,12.9,13.4,12.25,12.95,820519351.0
2022-03-21,13.2,13.45,12.9,12.95,132143743.0
2022-03-22,13.05,13.05,12.75,12.8,80397218.0
2022-03-23,12.9,13.0,12.8,12.85,77401990.0
2022-03-24,12.8,12.85,12.75,12.75,46327191.0
2022-03-25,12.8,12.85,12.65,12.7,48911163.0
2022-03-28,12.75,12.8,12.5,12.55,81110072.0
2022-03-29,12.6,12.8,12.45,12.55,89485918.0
2022-03-30,12.65,12.75,12.1,12.25,234110133.0
2022-03-31,12.25,12.45,12.2,12.3,94468344.0
